gene name,hyb1,hyb2,hyb3,hyb4
A2M,7.0,9.0,2.0,9.0
ADGRE5,3.0,8.0,5.0,7.0
ANP32E,6.0,1.0,9.0,7.0
ANXA1,1.0,2.0,1.0,4.0
ANXA5,5.0,9.0,9.0,5.0
APOBEC3G,2.0,5.0,7.0,5.0
APP,5.0,8.0,1.0,5.0
ARL4C,5.0,7.0,6.0,9.0
ATF6B,8.0,9.0,8.0,7.0
ATG12,9.0,7.0,3.0,1.0
ATP1B3,6.0,5.0,9.0,2.0
BCAM,3.0,3.0,7.0,4.0
BIN2,3.0,1.0,4.0,8.0
BSG,8.0,2.0,5.0,6.0
BST2,8.0,6.0,1.0,6.0
BTN3A2,4.0,6.0,1.0,2.0
C1QA,1.0,7.0,4.0,3.0
C1QB,4.0,3.0,3.0,1.0
C1S,8.0,5.0,2.0,6.0
C3,9.0,8.0,2.0,1.0
C7,7.0,5.0,3.0,6.0
CASP1,4.0,3.0,8.0,6.0
CCL18,7.0,8.0,6.0,3.0
CCL21,8.0,7.0,7.0,4.0
CD151,1.0,8.0,9.0,9.0
CD2,3.0,7.0,9.0,1.0
CD24,8.0,7.0,8.0,5.0
CD247,1.0,3.0,7.0,2.0
CD320,2.0,4.0,7.0,4.0
CD34,8.0,4.0,4.0,7.0
CD36,6.0,4.0,8.0,9.0
CD37,6.0,6.0,3.0,6.0
CD38,1.0,7.0,7.0,6.0
CD46,8.0,7.0,6.0,3.0
CD47,6.0,1.0,2.0,9.0
CD48,4.0,1.0,6.0,2.0
CD53,6.0,6.0,8.0,2.0
CD55,8.0,9.0,3.0,2.0
CD59,6.0,7.0,7.0,2.0
CD6,9.0,6.0,9.0,6.0
CD63,1.0,7.0,8.0,7.0
CD68,9.0,9.0,2.0,2.0
CD69,6.0,8.0,9.0,5.0
CD7,2.0,5.0,4.0,2.0
CD81,3.0,2.0,6.0,2.0
CD83,3.0,4.0,4.0,2.0
CD9,3.0,7.0,5.0,6.0
CD96,5.0,9.0,3.0,8.0
CES1,5.0,3.0,8.0,7.0
CKS1B,1.0,8.0,4.0,4.0
CLEC2D,1.0,3.0,3.0,7.0
CLU,1.0,6.0,4.0,2.0
CNOT2,5.0,4.0,1.0,1.0
CTSD,7.0,9.0,7.0,5.0
CTSH,3.0,1.0,2.0,6.0
CTSL,7.0,4.0,2.0,4.0
CTSS,4.0,5.0,3.0,3.0
CTSW,2.0,4.0,4.0,1.0
CXCL14,4.0,5.0,2.0,2.0
CXCL16,4.0,8.0,2.0,5.0
CXCR3,5.0,1.0,8.0,5.0
CXCR6,9.0,3.0,2.0,5.0
DOCK8,8.0,2.0,7.0,8.0
DUSP1,8.0,8.0,9.0,7.0
EGR1,4.0,6.0,6.0,7.0
ENG,9.0,8.0,1.0,9.0
ESAM,2.0,9.0,6.0,8.0
EVI2B,1.0,7.0,5.0,4.0
F2R,8.0,8.0,5.0,3.0
FOSB,8.0,1.0,5.0,5.0
FYB1,8.0,6.0,3.0,8.0
GIMAP7,6.0,3.0,4.0,4.0
GNAI2,2.0,7.0,1.0,1.0
GPI,5.0,5.0,9.0,1.0
GPR171,1.0,5.0,1.0,7.0
GPR183,7.0,4.0,1.0,3.0
GYPC,9.0,1.0,1.0,2.0
HMGB2,7.0,7.0,2.0,7.0
ICAM1,2.0,1.0,3.0,6.0
ICAM2,1.0,5.0,7.0,4.0
ICAM3,1.0,2.0,9.0,3.0
IER3,7.0,7.0,3.0,8.0
IER5,7.0,5.0,4.0,7.0
IFI16,9.0,9.0,6.0,6.0
IFI35,4.0,2.0,3.0,9.0
IFNAR2,1.0,1.0,2.0,4.0
IFNGR2,2.0,7.0,3.0,3.0
IGBP1,9.0,9.0,5.0,5.0
IL10RA,1.0,9.0,5.0,6.0
IL16,8.0,1.0,4.0,4.0
IL2RG,5.0,2.0,9.0,7.0
IL32,1.0,8.0,5.0,5.0
ILF3,8.0,6.0,4.0,9.0
INPP5D,7.0,1.0,9.0,8.0
IRF3,8.0,8.0,3.0,1.0
IRF7,5.0,6.0,6.0,8.0
ISG20,2.0,3.0,6.0,2.0
ITGA1,3.0,2.0,7.0,3.0
ITGAE,3.0,5.0,9.0,8.0
ITGB1,9.0,2.0,7.0,9.0
ITGB2,2.0,1.0,6.0,9.0
JAML,2.0,3.0,9.0,5.0
JPT1,7.0,3.0,1.0,2.0
JUNB,2.0,1.0,7.0,1.0
KDELR1,4.0,3.0,7.0,5.0
LAMP2,1.0,2.0,6.0,9.0
LAP3,6.0,3.0,8.0,8.0
LCP1,9.0,3.0,5.0,8.0
LDHA,5.0,9.0,1.0,6.0
LIPA,8.0,3.0,2.0,4.0
LPAR6,5.0,8.0,6.0,1.0
LY86,9.0,1.0,3.0,4.0
MARCO,2.0,2.0,6.0,1.0
MEF2C,8.0,4.0,9.0,3.0
MFGE8,7.0,4.0,3.0,5.0
MS4A4A,7.0,7.0,4.0,9.0
MX1,4.0,5.0,7.0,7.0
MZB1,1.0,6.0,7.0,5.0
NAMPT,4.0,6.0,7.0,8.0
NKG7,6.0,2.0,5.0,4.0
PDIA4,1.0,7.0,9.0,8.0
